Make,Model,Year of manufacture,Body,Doors,Seats,Colour,Engine size,Price,Mileage,Fuel type,Fuel economy,Transmission,Horse power,Owners,Extraction time
Seat,Ibiza 1.4 Toca 5dr * REAR SENSORS / LOW MILEAGE / EMOCION RED *,2014,Hatchback,5,5,Red,1.4,"1119,2","42,848",Petrol,47.9,Manual,84,2,16-11-2021
Jaguar,XE 2L R-Sport d,2018,Saloon,4,5,White,2.0,3684,"17,893",n/a,48.7,Automatic,177,1,16-11-2021
Ford,Focus 2.0 ST-3 TDCI 5d 183 BHP,2018,Hatchback,5,5,Black,2.0,2960,"51,149",n/a,67.3,Manual,182,2,16-11-2021
Toyota,AYGO 1.0 VVT-I X-PLAY 5d 69 BHP,2017,Hatchback,5,4,Blue,1.0,"1119,84","33,411",Petrol,68.9,Manual,69,1,16-11-2021
Vauxhall,Grandland X 1.2 SPORT NAV S/S 5d 129 BHP,2018,Hatchback,5,5,Blue,1.2,"2639,84","42,111",Petrol,55.4,Manual,128,1,16-11-2021
Jaguar,F-PACE 2.0 PRESTIGE AWD 5d 178 BHP,2017,Estate,5,5,Blue,2.0,"4623,84","40,264",n/a,53.3,Automatic,177,1,16-11-2021
Mercedes-Benz,A-Class 2.1 A 200 D AMG LINE PREMIUM 5d 134 BHP,2018,Hatchback,5,5,Grey,2.1,"2991,84","58,664",n/a,68.9,Automatic,134,1,16-11-2021
Kia,ceed 1.6 CRDI 2 ISG 5d 114 BHP,2018,Hatchback,5,5,Black,1.6,"2047,84","28,762",n/a,58.9,Manual,114,1,16-11-2021
BMW,3 Series 2.0 330E M SPORT 4d 181 BHP,2018,Saloon,4,5,Grey,2.0,"3407,84","27,723",Hybrid,134.5,Automatic,248,1,16-11-2021
DS,DS 4 1.6 BlueHDi Crossback 5dr,2017,Hatchback,5,5,Grey,1.6,"1839,84","36,101",n/a,72.4,Manual,120,3,16-11-2021
Audi,A6 Avant 2.0 AVANT TDI ULTRA SE EXECUTIVE 5d 188 BHP,2017,Estate,5,5,Red,2.0,"3359,84","38,666",n/a,64.2,Automatic,188,1,16-11-2021
BMW,X4 2.0 XDRIVE20D M SPORT 4d 188 BHP,2017,Coupe,4,5,White,2.0,"4479,84","34,115",n/a,54.3,Automatic,188,1,16-11-2021
Kia,Soul 0.0 EV 5d 109 BHP,2018,Hatchback,5,5,White,n/a,"2943,84","22,534",n/a,n/a,Automatic,109,2,16-11-2021
Kia,Sportage 1.7 CRDI 3 ISG 5d 114 BHP,2018,Estate,5,5,Black,1.7,"3119,84","24,583",n/a,61.4,Manual,114,1,16-11-2021
Mitsubishi,Outlander 2.3 DI-D 2 5d 147 BHP,2017,Estate,5,5,Silver,2.3,"2719,84","23,541",n/a,53.3,Manual,147,1,16-11-2021
Mercedes-Benz,E-Class 2.0 E 220 D SE 5d 192 BHP,2017,Estate,5,5,Black,1.9,"3599,84","43,417",n/a,67.3,Automatic,191,1,16-11-2021
